iter	Passed	Remaining
529	8512	7548
530	8528	7532
531	8547	7519
532	8565	7504
533	8582	7489
534	8596	7471
535	8611	7455
536	8626	7437
537	8639	7419
538	8656	7403
539	8671	7386
540	8686	7369
541	8701	7353
542	8715	7335
543	8731	7318
544	8745	7301
545	8758	7283
546	8772	7264
547	8786	7247
548	8799	7229
549	8812	7210
550	8832	7197
551	8849	7182
552	8861	7163
553	8876	7146
554	8890	7128
555	8903	7109
556	8917	7091
557	8931	7074
558	8943	7055
559	8955	7036
560	8969	7018
561	8985	7003
562	8999	6985
563	9014	6968
564	9035	6956
565	9053	6942
566	9069	6925
567	9083	6908
568	9099	6892
569	9116	6877
570	9145	6871
571	9162	6855
572	9181	6842
573	9195	6824
574	9213	6810
575	9232	6796
576	9252	6782
577	9269	6767
578	9286	6752
579	9305	6738
580	9322	6722
581	9338	6707
582	9352	6689
583	9366	6671
584	9379	6653
585	9398	6640
586	9415	6624
587	9442	6616
588	9464	6604
589	9487	6592
590	9506	6578
591	9522	6562
592	9534	6544
593	9549	6527
594	9562	6508
595	9574	6490
596	9587	6472
597	9601	6454
598	9616	6437
599	9630	6420
600	9646	6404
601	9662	6388
602	9678	6371
603	9692	6354
604	9707	6337
605	9723	6321
606	9742	6307
607	9761	6293
608	9778	6278
609	9797	6264
610	9819	6251
611	9845	6241
612	9872	6232
613	9892	6218
614	9914	6206
615	9936	6193
616	9956	6180
617	9977	6167
618	9997	6153
619	10013	6137
620	10032	6122
621	10051	6108
622	10065	6090
623	10083	6075
624	10100	6060
625	10119	6045
626	10134	6029
627	10149	6012
628	10163	5994
629	10179	5978
630	10194	5961
631	10207	5943
632	10219	5925
633	10232	5907
634	10246	5889
635	10259	5872
636	10272	5853
637	10286	5836
638	10301	5819
639	10315	5802
640	10328	5784
641	10340	5766
642	10354	5749
643	10369	5732
644	10384	5715
645	10399	5698
646	10416	5683
647	10430	5666
648	10444	5648
649	10458	5631
650	10472	5614
651	10486	5597
652	10502	5581
653	10517	5564
654	10530	5546
655	10549	5532
656	10566	5516
657	10580	5499
658	10593	5481
659	10607	5464
660	10620	5446
661	10648	5436
662	10662	5419
663	10676	5402
664	10690	5385
665	10703	5367
666	10719	5351
667	10739	5337
668	10759	5323
669	10777	5308
670	10794	5292
671	10810	5276
672	10823	5258
673	10836	5241
674	10848	5223
675	10860	5205
676	10873	5187
677	10885	5170
678	10900	5153
679	10913	5135
680	10926	5118
681	10941	5101
682	10955	5084
683	10969	5067
684	10984	5051
685	10999	5034
686	11013	5017
687	11027	5000
688	11040	4983
689	11056	4967
690	11068	4949
691	11080	4931
692	11097	4916
693	11108	4898
694	11123	4881
695	11138	4865
696	11154	4848
697	11171	4833
698	11187	4817
699	11202	4800
700	11216	4784
701	11232	4768
702	11248	4752
703	11262	4735
704	11281	4720
705	11300	4705
706	11315	4689
707	11328	4672
708	11342	4655
709	11356	4638
710	11371	4622
711	11387	4606
712	11403	4590
713	11419	4574
714	11436	4558
715	11450	4541
716	11465	4525
717	11478	4508
718	11492	4491
719	11507	4475
720	11520	4457
721	11533	4441
722	11550	4425
723	11564	4408
724	11578	4391
725	11594	4375
726	11608	4359
727	11622	4342
728	11636	4325
729	11653	4310
730	11669	4294
731	11683	4277
732	11694	4259
733	11707	4242
734	11722	4226
735	11736	4209
736	11749	4192
737	11766	4177
738	11781	4161
739	11796	4144
740	11810	4128
741	11825	4111
742	11839	4095
743	11855	4079
744	11870	4062
745	11883	4046
746	11896	4029
747	11908	4012
748	11920	3994
749	11938	3979
750	11951	3962
751	11964	3945
752	11979	3929
753	11993	3913
754	12007	3896
755	12021	3880
756	12036	3863
757	12051	3847
758	12066	3831
759	12078	3814
760	12092	3797
761	12104	3780
762	12118	3764
763	12130	3747
764	12143	3730
765	12158	3714
766	12171	3697
767	12190	3682
768	12206	3666
769	12222	3650
770	12238	3634
771	12253	3619
772	12269	3603
773	12283	3586
774	12298	3570
775	12313	3554
776	12326	3537
